mode,atlas,fc_version,fold_or_site,auc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,train_time_sec,infer_ms_per_sample,epochs_run,n_params,n_eval,_src
within_site,AAL,v1,UM,0.6555555555555557,0.5857707509881424,0.5995726495726496,0.5137878119763648,0.6316666666666667,0.4769230769230769,0.7222222222222222,0.7219259977340698,50.519920873641965,2.7993364296411807,36.8,32258.0,22.6,run_20260620_073443
within_site,AAL,v1,USM,0.8044642857142857,0.6371794871794871,0.5349999999999999,0.18095238095238095,0.4,0.12000000000000002,0.95,0.7545120835304259,27.962019634246825,3.1164319087297487,35.8,32258.0,12.2,run_20260620_073443
within_site,AAL,v1,Yale,0.5576666666666668,0.54,0.5383333333333333,0.4671794871794872,0.4704761904761904,0.4866666666666667,0.5900000000000001,0.5320692300796509,14.466462755203247,2.618600527445475,25.4,32258.0,9.6,run_20260620_073443
pooled_cv,AAL,v2,1,0.6449293966623877,0.5310734463276836,0.535622593068036,0.5202312138728323,0.5769230769230769,0.4736842105263158,0.5975609756097561,0.4845705926418304,282.6706688404083,3.624658800114346,26.0,32258.0,177.0,run_20260620_073443
pooled_cv,AAL,v2,2,0.685622593068036,0.6384180790960452,0.6389602053915275,0.6521739130434782,0.6741573033707865,0.631578947368421,0.6463414634146342,0.5710287094116211,231.4312241077423,2.9396269954530534,21.0,32258.0,177.0,run_20260620_073443
pooled_cv,AAL,v2,3,0.6614890885750963,0.615819209039548,0.6145699614890885,0.6382978723404255,0.6451612903225806,0.631578947368421,0.5975609756097561,0.4296894669532776,262.550778388977,3.4729370289603194,24.0,32258.0,177.0,run_20260620_073443
pooled_cv,AAL,v2,4,0.6395318930041153,0.576271186440678,0.5727237654320988,0.6113989637305699,0.6082474226804123,0.6145833333333334,0.5308641975308642,0.6793661713600159,285.52272772788996,2.9425068763689817,26.0,32258.0,177.0,run_20260620_073443
pooled_cv,AAL,v2,5,0.7419103313840155,0.7045454545454546,0.7072124756335283,0.7111111111111111,0.7529411764705882,0.6736842105263158,0.7407407407407407,0.5533710122108461,282.47079205512995,3.107370300726457,26.0,32258.0,176.0,run_20260620_073443
loso,AAL,v2,CMU,0.6666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.5,1.0,0.3333333333333333,0.5881593823432922,247.22590494155884,1.6632556915283203,21.0,32258.0,5.0,run_20260620_073443
loso,AAL,v2,Caltech,0.6666666666666667,0.6486486486486487,0.6461988304093567,0.606060606060606,0.6666666666666666,0.5555555555555556,0.7368421052631579,0.6700730323791504,330.95245051383966,3.5952104104531784,28.0,32258.0,37.0,run_20260620_073443
loso,AAL,v2,KKI,0.8148148148148148,0.6153846153846154,0.7222222222222222,0.6153846153846153,1.0,0.4444444444444444,1.0,0.5959426760673523,554.2820248603822,3.3634442549485426,48.0,32258.0,39.0,run_20260620_073443
